"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6159","Проверка ответа FAQ","tests","2026-02-25","passed","2026-02-25","TestFAQ","test_faq","",""
"","7698","Проверка ответа FAQ","tests","2026-02-25","passed","2026-02-25","TestFAQ","test_faq","",""
"","7963","Проверка ответа FAQ","tests","2026-02-25","passed","2026-02-25","TestFAQ","test_faq","",""
"","25812","Клик по лого Яндекс открывает Дзен (через редирект)","tests","2026-02-25","passed","2026-02-25","TestNavigation","test_navigation","",""
"","11113","Позитивный заказ самоката через нижнюю кнопку","tests","2026-02-25","passed","2026-02-25","TestOrder","test_order","",""
"","6838","Проверка ответа FAQ","tests","2026-02-25","passed","2026-02-25","TestFAQ","test_faq","",""
"","12571","Позитивный заказ самоката через верхнюю кнопку","tests","2026-02-25","passed","2026-02-25","TestOrder","test_order","",""
"","9500","Проверка ответа FAQ","tests","2026-02-25","passed","2026-02-25","TestFAQ","test_faq","",""
"","6825","Клик по лого Самокат возвращает на главную","tests","2026-02-25","passed","2026-02-25","TestNavigation","test_navigation","",""
"","7447","Проверка ответа FAQ","tests","2026-02-25","passed","2026-02-25","TestFAQ","test_faq","",""
"","7473","Проверка ответа FAQ","tests","2026-02-25","passed","2026-02-25","TestFAQ","test_faq","",""
"","6752","Проверка ответа FAQ","tests","2026-02-25","passed","2026-02-25","TestFAQ","test_faq","",""
